7171,1165752
3332,454452
8585,1319194
4746,691452
908,110414
10000,1565456
6161,916446
2322,307566
7575,1161838
3736,529406
8989,1394752
5151,856624
1312,160320
6565,1101078
2726,365706
7979,1216786
4140,582486
302,30860
9393,1506496
5555,807346
1716,219866
6969,1114548
3130,433706
8383,1302570
4544,658436
706,80828
9797,1508664
5959,873884
2120,285426
7373,1130220
3534,513632
8787,1347402
4948,719292
1110,138926
6363,966894
2524,344280
7777,1216494
3938,622756
100,10894
9191,1404722
5353,776804
1514,193026
6767,1067720
2928,394886
8181,1278890
4342,635912
504,54604
9595,1545776
5757,886072
1918,247034
