7171,817894
3332,359020
8585,1114868
4746,527058
908,79504
10000,1216082
6161,705498
2322,227988
7575,861126
3736,433498
8989,1082038
5151,562136
1312,121860
6565,745012
2726,269278
7979,943814
4140,458218
302,22162
9393,1151030
5555,647844
1716,167070
6969,798480
3130,319666
8383,986596
4544,482092
706,58930
9797,1262278
5959,655004
2120,203404
7373,959668
3534,366418
8787,1041812
4948,531856
1110,98346
6363,741074
2524,248612
7777,881022
3938,408018
100,5500
9191,1072260
5353,597782
1514,141958
6767,784660
2928,311796
8181,939068
4342,454458
504,39260
9595,1233728
5757,643464
1918,183438
