7171,3057638
3332,1426528
8585,3915884
4746,1974394
908,331954
10000,4084820
6161,2463706
2322,876732
7575,3505828
3736,1530918
8989,3666528
5151,2066180
1312,486448
6565,2666296
2726,1047008
7979,3310434
4140,1641816
302,93738
9393,3860230
5555,2205104
1716,700288
6969,2977114
3130,1242054
8383,3315216
4544,1989000
706,253324
9797,3940520
5959,2356000
2120,824398
7373,3107596
3534,1353274
8787,3489244
4948,1975000
1110,403356
6363,2553042
2524,985702
7777,3143372
3938,1519382
100,10990
9191,3955922
5353,2127132
1514,567314
6767,2736252
2928,1144606
8181,3434184
4342,1707970
504,175434
9595,4194844
5757,2260986
1918,772564
