7171,986958
3332,415128
8585,1170480
4746,622938
908,101176
10000,1400660
6161,823780
2322,291934
7575,1054772
3736,512502
8989,1256556
5151,670062
1312,149544
6565,889000
2726,351384
7979,1160698
4140,541254
302,29776
9393,1313718
5555,738182
1716,203196
6969,945054
3130,387180
8383,1159402
4544,593440
706,76544
9797,1385032
5959,788542
2120,259402
7373,1166938
3534,456366
8787,1191922
4948,651540
1110,129334
6363,855820
2524,309584
7777,1090170
3938,503348
100,7308
9191,1326870
5353,706324
1514,174668
6767,910682
2928,369076
8181,1127868
4342,574116
504,52830
9595,1487484
5757,754118
1918,228190
